Season,GameNumber,GameDate,VTeamCode,HTeamCode
2010,20770,2011-02-03,DAL,BOS
2010,20771,2011-02-03,CAR,TOR
2010,20772,2011-02-03,NJ,NYR
2010,20773,2011-02-03,NSH,PHI
2010,20774,2011-02-03,CGY,ATL
2010,20775,2011-02-03,MIN,COL
2010,20776,2011-02-04,FLA,NJ
2010,20777,2011-02-04,BUF,PIT
2010,20778,2011-02-04,CBJ,DET
2010,20779,2011-02-04,WSH,TB
2010,20780,2011-02-04,EDM,STL
2010,20781,2011-02-04,CHI,VAN
2010,20782,2011-02-05,SJ,BOS
2010,20783,2011-02-05,NYR,MTL
2010,20784,2011-02-05,ANA,COL
2010,20785,2011-02-05,TOR,BUF
2010,20786,2011-02-05,OTT,NYI
2010,20787,2011-02-05,DAL,PHI
2010,20788,2011-02-05,ATL,CAR
2010,20789,2011-02-05,EDM,CBJ
2010,20790,2011-02-05,DET,NSH
2010,20791,2011-02-05,MIN,PHX
2010,20792,2011-02-05,LA,CGY
2010,20793,2011-02-06,PIT,WSH
2010,20794,2011-02-06,NJ,MTL
2010,20795,2011-02-06,STL,TB
2010,20796,2011-02-07,ATL,TOR
2010,20797,2011-02-07,NYR,DET
2010,20798,2011-02-07,EDM,NSH
2010,20799,2011-02-07,CHI,CGY
2010,20800,2011-02-07,COL,PHX
2010,20801,2011-02-07,OTT,VAN
2010,20802,2011-02-08,CAR,NJ
2010,20803,2011-02-08,TOR,NYI
2010,20804,2011-02-08,CBJ,PIT
2010,20805,2011-02-08,SJ,WSH
2010,20806,2011-02-08,BUF,TB
2010,20807,2011-02-08,STL,FLA
2010,20808,2011-02-09,MTL,BOS
2010,20809,2011-02-09,NSH,DET
2010,20810,2011-02-09,SJ,CBJ
2010,20811,2011-02-09,COL,MIN
2010,20812,2011-02-09,PHX,DAL
2010,20813,2011-02-09,OTT,CGY
2010,20814,2011-02-09,CHI,EDM
2010,20815,2011-02-09,ANA,VAN
2010,20816,2011-02-10,NJ,TOR
2010,20817,2011-02-10,CAR,PHI
2010,20818,2011-02-10,LA,PIT
2010,20819,2011-02-10,NYI,MTL
2010,20820,2011-02-10,BUF,FLA
2010,20821,2011-02-11,DET,BOS
2010,20822,2011-02-11,SJ,NJ
2010,20823,2011-02-11,PIT,NYI
2010,20824,2011-02-11,COL,CBJ
2010,20825,2011-02-11,NYR,ATL
2010,20826,2011-02-11,MIN,STL
2010,20827,2011-02-11,CHI,DAL
2010,20828,2011-02-11,ANA,CGY
2010,20829,2011-02-12,LA,WSH
2010,20830,2011-02-12,OTT,EDM
2010,20831,2011-02-12,TOR,MTL
2010,20832,2011-02-12,CAR,TB
2010,20833,2011-02-12,COL,NSH
2010,20834,2011-02-12,CHI,PHX
2010,20835,2011-02-12,STL,MIN
2010,20836,2011-02-12,CGY,VAN
2010,20837,2011-02-13,NYI,BUF
2010,20838,2011-02-13,PIT,NYR
2010,20839,2011-02-13,CBJ,DAL
2010,20840,2011-02-13,CAR,ATL
2010,20841,2011-02-13,SJ,FLA
2010,20842,2011-02-13,BOS,DET
2010,20843,2011-02-13,LA,PHI
2010,20844,2011-02-13,ANA,EDM
2010,20845,2011-02-14,VAN,STL
2010,20846,2011-02-14,CGY,COL
2010,20847,2011-02-14,WSH,PHX
2010,20848,2011-02-15,TOR,BOS
2010,20849,2011-02-15,BUF,MTL
2010,20850,2011-02-15,NYI,OTT
2010,20851,2011-02-15,PHI,TB
2010,20852,2011-02-15,SJ,NSH
2010,20853,2011-02-15,VAN,MIN
2010,20854,2011-02-15,DAL,EDM
2010,20855,2011-02-16,TOR,BUF
2010,20856,2011-02-16,CAR,NJ
2010,20857,2011-02-16,LA,CBJ
2010,20858,2011-02-16,PHI,FLA
2010,20859,2011-02-16,MIN,CHI
2010,20860,2011-02-16,PIT,COL
2010,20861,2011-02-16,DAL,CGY
2010,20862,2011-02-16,WSH,ANA
2010,20863,2011-02-17,BOS,NYI
2010,20864,2011-02-17,LA,NYR
2010,20865,2011-02-17,DET,TB
2010,20866,2011-02-17,VAN,NSH
2010,20867,2011-02-17,MTL,EDM
2010,20868,2011-02-17,ATL,PHX
2010,20869,2011-02-17,WSH,SJ
2010,20870,2011-02-18,NYR,NJ
2010,20871,2011-02-18,PHI,CAR
2010,20872,2011-02-18,STL,BUF
2010,20873,2011-02-18,BOS,OTT
2010,20874,2011-02-18,DET,FLA
2010,20875,2011-02-18,ANA,MIN
2010,20876,2011-02-18,CBJ,CHI
2010,20877,2011-02-19,ATL,EDM
2010,20878,2011-02-19,OTT,TOR
2010,20879,2011-02-19,LA,NYI
2010,20880,2011-02-19,NJ,CAR
2010,20881,2011-02-19,FLA,TB
2010,20882,2011-02-19,ANA,STL
2010,20883,2011-02-19,PHX,NSH
2010,20884,2011-02-19,DAL,VAN
2010,20885,2011-02-19,COL,SJ
2010,20886,2011-02-20,WSH,BUF
2010,20887,2011-02-20,PHI,NYR
2010,20888,2011-02-20,PIT,CHI
2010,20889,2011-02-20,DET,MIN
2010,20890,2011-02-20,MTL,CGY
2010,20891,2011-02-21,FLA,NYI
2010,20892,2011-02-21,CHI,STL
2010,20893,2011-02-21,WSH,PIT
2010,20894,2011-02-22,NYI,TOR
2010,20895,2011-02-22,PHX,PHI
2010,20896,2011-02-22,NYR,CAR
2010,20897,2011-02-22,SJ,DET
2010,20898,2011-02-22,NSH,CBJ
2010,20899,2011-02-22,EDM,MIN
2010,20900,2011-02-22,NJ,DAL
2010,20901,2011-02-22,MTL,VAN
2010,20902,2011-02-23,ATL,BUF
2010,20903,2011-02-23,FLA,OTT
2010,20904,2011-02-23,SJ,PIT
2010,20905,2011-02-23,PHX,TB
2010,20906,2011-02-22,BOS,CGY
2010,20907,2011-02-23,EDM,COL
2010,20908,2011-02-23,LA,ANA
2010,20909,2011-02-24,NYI,PHI
2010,20910,2011-02-24,DAL,DET
2010,20911,2011-02-24,TOR,MTL
2010,20912,2011-02-24,CHI,NSH
2010,20913,2011-02-24,STL,VAN
2010,20914,2011-02-24,MIN,LA
2010,20915,2011-02-25,NYR,WSH
2010,20916,2011-02-25,PIT,CAR
2010,20917,2011-02-25,PHX,CBJ
2010,20918,2011-02-25,OTT,BUF
2010,20919,2011-02-25,FLA,ATL
2010,20920,2011-02-25,NJ,TB
2010,20921,2011-02-25,SJ,CGY
2010,20922,2011-02-25,STL,EDM
2010,20923,2011-02-25,MIN,ANA
2010,20924,2011-02-26,NSH,DAL
2010,20925,2011-02-26,COL,LA
2010,20926,2011-02-26,DET,BUF
2010,20927,2011-02-26,PIT,TOR
2010,20928,2011-02-26,CAR,MTL
2010,20929,2011-02-26,PHI,OTT
2010,20930,2011-02-26,WSH,NYI
2010,20931,2011-02-26,BOS,VAN
2010,20932,2011-02-27,TB,NYR
2010,20933,2011-02-27,CBJ,NSH
2010,20934,2011-02-27,TOR,ATL
2010,20935,2011-02-27,NJ,FLA
2010,20936,2011-02-27,PHX,CHI
2010,20937,2011-02-27,STL,CGY
2010,20938,2011-02-27,BOS,EDM
2010,20939,2011-02-27,COL,ANA
2010,20940,2011-02-28,CHI,MIN
2010,20941,2011-02-28,DET,LA
2010,20942,2011-03-01,BUF,NYR
